Ano de eleição_x,Cargo_x,UF_x,Nome candidato,Número candidato,Partido,Gênero,Votos válidos,Votos nominais,Data de carga_x,Ano de eleição_y,Cargo_y,UF_y,Coligação,Composição da federação,Região,Sigla da federação,Turno,Quantidade de votos válidos,Data de carga_y,quociente_partidario,media_sobra
2022,Deputado Federal,SP,ANTONIO CARLOS RODRIGUES,2211,PL,Masculino,22429341,73054,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,4397423,2025-03-25 03:36:58,16,274838.9375
2022,Deputado Federal,SP,PAULO FRANCISCO MUNIZ BILYNSKYJ,2247,PL,Masculino,22429341,72156,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,4397423,2025-03-25 03:36:58,16,274838.9375
2022,Deputado Federal,SP,FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,2255,PL,Masculino,22429341,71754,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,4397423,2025-03-25 03:36:58,16,274838.9375
2022,Deputado Federal,SP,RENATA HELLMEISTER DE ABREU MELO,1919,PODE,Feminino,22429341,180247,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,892443,2025-03-25 03:36:58,3,223110.75
2022,Deputado Federal,SP,BRUNO AREVALO GANEM,1910,PODE,Masculino,22429341,141595,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,892443,2025-03-25 03:36:58,3,223110.75
2022,Deputado Federal,SP,RODRIGO GAMBALE VIEIRA,1977,PODE,Masculino,22429341,108209,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,892443,2025-03-25 03:36:58,3,223110.75
2022,Deputado Federal,SP,BRUNO MARCELLO DE OLIVEIRA LIMA,1111,PP,Masculino,22429341,461217,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1174646,2025-03-25 03:36:58,4,234929.2
2022,Deputado Federal,SP,CARLOS ALBERTO DA CUNHA,1122,PP,Masculino,22429341,181568,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1174646,2025-03-25 03:36:58,4,234929.2
2022,Deputado Federal,SP,MANOEL MAURICIO SILVA NEVES,1100,PP,Masculino,22429341,129731,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1174646,2025-03-25 03:36:58,4,234929.2
2022,Deputado Federal,SP,FAUSTO RUY PINATO,1123,PP,Masculino,22429341,72169,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1174646,2025-03-25 03:36:58,4,234929.2
